번호,업체명,모델명,월간소비전력량(kwh/월),연간에너지비용(원),용량,효율등급,시간당 이산화탄소 배출량
1,삼성전자(주),RF60C93T2AP,36.85,"71,000",596.5,2,#N/A
2,삼성전자(주),RF60C99A2APG,35.82,"69,000",586.3,2,#N/A
3,오텍캐리어냉장 주식회사,MRNH553BWS1,42.34,"81,000",553.3,3,#N/A
4,오텍캐리어냉장 주식회사,MRNH540AWS1,42.34,"81,000",540.1,3,#N/A
5,오텍캐리어냉장 주식회사,MRNF474SPI1,48.67,"93,000",475,4,#N/A
6,오텍캐리어냉장 주식회사,HRF618NFES1,34.07,"65,000",618,2,#N/A
7,오텍캐리어냉장 주식회사,MRNF436PPS1,41.85,"80,000",436.4,4,#N/A
8,오텍캐리어냉장 주식회사,MRDC117PSM1,23.78,"46,000",117.2,3,#N/A
9,주식회사 코코일렉,CET27CM,27.8,"53,000",274.4,2,#N/A
10,오텍캐리어냉장 주식회사,MRNF436EPS1,41.85,"80,000",436.4,4,#N/A
11,오텍캐리어냉장 주식회사,MRNF436WPS1,41.85,"80,000",436.4,4,#N/A
12,주식회사 코코일렉,BCD-205VX,27.05,"52,000",204.6,3,#N/A
13,오텍캐리어냉장 주식회사,MRNF436MPS1,41.85,"80,000",436.4,4,#N/A
14,오텍캐리어냉장 주식회사,MRDC117MSM1,23.78,"46,000",117.2,3,#N/A
15,오텍캐리어냉장 주식회사,MRDC117ESM1,23.78,"46,000",117.2,3,#N/A
16,오텍캐리어냉장 주식회사,MRDC117GSM1,23.78,"46,000",117.2,3,#N/A
17,삼성전자(주),RF85C9581APW,39.73,"76,000",843.8,1,#N/A
18,오텍캐리어냉장 주식회사,MRNH540BWS1,42.34,"81,000",540.1,3,#N/A
19,오텍캐리어냉장 주식회사,MRNF560MPS1,46.23,"89,000",565.5,3,#N/A
20,오텍캐리어냉장 주식회사,MRNF560WPS1,46.23,"89,000",565.5,3,#N/A
21,오텍캐리어냉장 주식회사,HQ-611RWEN(CE-BCD470WE-JT),48.67,"93,000",475,4,#N/A
22,LG전자(주),S834MEE10,51.64,"99,000",834,2,#N/A
23,오텍캐리어냉장 주식회사,MRNF560PPS1,46.23,"89,000",565.5,3,#N/A
24,오텍캐리어냉장 주식회사,MRNH553AWS1,42.34,"81,000",553.3,3,#N/A
25,오텍캐리어냉장 주식회사,KRNF560NPS1,46.23,"89,000",565.5,3,#N/A
26,오텍캐리어냉장 주식회사,KRNF560BPS1,46.23,"89,000",565.5,3,#N/A
27,삼성전자(주),RF85C9481AP,40.5,"78,000",848.5,1,#N/A
28,LG전자(주),C513LA22RNK,19.09,"37,000",502.7,1,502.5
29,LG전자(주),D262MBE32,24.8,"48,000",269.6,1,#N/A
30,쿠팡 주식회사,P633SBGS,55.5,"107,000",601.4,4,#N/A
31,코스텔(주),CRS-281HAPK,25.42,"49,000",281,2,#N/A
32,쿠팡 주식회사,P633SBGB,55.5,"107,000",601.4,4,#N/A
33,삼성전자(주),RF84C926A4E,40.51,"78,000",875.2,1,#N/A
34,주식회사 코코일렉,BCD-138VX,28.35,"54,000",137.9,3,#N/A
35,루컴즈전자 주식회사,R046H01-S,9.73,"19,000",46.8,4,#N/A
36,주식회사 코코일렉,BCD-258VX,27.8,"53,000",274.4,2,#N/A
37,롯데하이마트(주),HRF-SN604BMHY,41.87,"80,000",604,3,#N/A
38,루컴즈전자 주식회사,DF1-07,9.73,"19,000",46.8,4,46
39,삼성전자(주),RF85C9001AP,42.11,"81,000",878.2,1,#N/A
40,삼성전자(주),RF85C90D255,54.3,"104,000",878.1,2,#N/A
41,삼성전자(주),RF85C90D1AP,41.38,"79,000",878.1,1,#N/A
42,삼성전자(주),RF85C90D2W6,54.3,"104,000",878.1,2,#N/A
43,삼성전자(주),RF85C90D201,54.3,"104,000",878.1,2,#N/A
44,삼성전자(주),RF85C90D2AP,54.3,"104,000",878.1,2,#N/A
45,LG전자(주),T873P012,54.58,"105,000",876.5,2,#N/A
46,삼성전자(주),RF85C90F155,42.16,"81,000",876.6,1,#N/A
47,삼성전자(주),RF85C91J1AP,41.47,"80,000",872,1,#N/A
48,삼성전자(주),RF60C901301,39.97,"77,000",615.7,2,#N/A
49,삼성전자(주),RF85C90F1T1,42.16,"81,000",876.6,1,#N/A
50,주식회사 더블에스글로벌,ERK-83WH,17.41,"33,000",81.2,4,#N/A
51,주식회사 더블에스글로벌,ERK-47BK,12.83,"25,000",45.8,5,#N/A
52,주식회사 더블에스글로벌,ERK-83BK,17.41,"33,000",81.2,4,#N/A
53,쿠팡 주식회사,P633SBGW,55.5,"107,000",601.4,4,#N/A
54,삼성전자(주),RF85C9101AP,41.42,"80,000",874.7,1,#N/A
55,삼성전자(주),RF60C9013W6,39.97,"77,000",615.7,2,#N/A
56,삼성전자(주),RF85C90F101,42.16,"81,000",876.6,1,#N/A
57,LG전자(주),T873P111,41.95,"81,000",873.3,1,#N/A
58,삼성전자(주),RF85C90F1W6,42.16,"81,000",876.6,1,#N/A
59,주식회사 더블에스글로벌,ERK-47WH,12.83,"25,000",45.8,5,#N/A
60,쿠팡 주식회사,P545TMC,39.04,"75,000",538.4,3,#N/A
61,쿠팡 주식회사,P545TMN,39.04,"75,000",538.4,3,#N/A
62,쿠팡 주식회사,P633SBN,56.32,"108,000",601.4,4,#N/A
63,쿠팡 주식회사,P633SBC,56.32,"108,000",601.4,4,#N/A
64,주식회사 위니아에이드,EWRS154HEMCU(A),28.3,"54,000",150,3,#N/A
65,주식회사 위니아에이드,EWRB151HEMPS(A),26.48,"51,000",144,3,#N/A
66,주식회사 위니아에이드,WWRA081HEMDW(A),12.14,"23,000",73,3,#N/A
67,주식회사 위니아에이드,WWRA051HEMDW(A),11.62,"22,000",46,5,#N/A
68,주식회사 위니아에이드,VWRB151HEMES(A),26.48,"51,000",144,3,#N/A
69,주식회사 위니아에이드,WWRC244HEMES(A),34.11,"65,000",239,2,#N/A
70,주식회사 위니아에이드,VWRS121HESCW(A),10.02,"19,000",124,2,#N/A
71,주식회사 위니아에이드,WWRA121HEMDW(A),12.94,"25,000",122,3,#N/A
72,주식회사 위니아에이드,PWRB151HEMDW(A),26.48,"51,000",144,3,#N/A
73,주식회사 위니아에이드,EWRB151HEMDW(A),26.48,"51,000",144,3,#N/A
74,주식회사 위니아에이드,EWRS081HESCU(A),10.53,"20,000",79,3,#N/A
75,주식회사 위니아에이드,VWRS154HEMCE(A),28.3,"54,000",150,3,#N/A
76,주식회사 위니아에이드,EWRS121HESCU(A),10.02,"19,000",124,2,#N/A
77,주식회사 위니아에이드,BWRC244HEMES(A),34.11,"65,000",239,2,#N/A
78,주식회사 위니아에이드,VWRS081HESCW(A),10.53,"20,000",79,3,#N/A
79,주식회사 위니아에이드,NWRB151HEMDW(A),26.48,"51,000",144,3,#N/A
80,삼성전자(주),RF85C91N1QW,40.56,"78,000",854.7,1,#N/A
81,삼성전자(주),RF85C91M101,40.42,"78,000",855.8,1,#N/A
82,삼성전자(주),RF85C91N1W6,40.56,"78,000",854.7,1,#N/A
83,쿠팡 주식회사,P633SBW,56.32,"108,000",601.4,4,#N/A
84,쿠팡 주식회사,P545TMW,39.04,"75,000",538.4,3,#N/A
85,삼성전자(주),RF85C90F1AP,42.16,"81,000",876.6,1,#N/A
86,삼성전자(주),RF85C91M1W6,40.42,"78,000",855.8,1,#N/A
87,삼성전자(주),RF60C9013AP,39.97,"77,000",615.7,2,#N/A
88,LG전자(주),M874GBB151,41.39,"79,000",877.2,1,#N/A
89,LG전자(주),M874GCB452,51.95,"100,000",879.5,2,#N/A
90,LG전자(주),M874GBB452,51.95,"100,000",879.5,2,#N/A
91,LG전자(주),M874GBB451,43.27,"83,000",879.5,1,#N/A
92,LG전자(주),M874GBB551,43.54,"84,000",873.4,1,#N/A
93,LG전자(주),M874AAA451,43.27,"83,000",879.5,1,#N/A
94,LG전자(주),M874AAA252,54.95,"106,000",872.6,2,#N/A
95,LG전자(주),M874GBB252,54.95,"106,000",872.6,2,#N/A
96,LG전자(주),M874GTB551,43.54,"84,000",873.4,1,#N/A
97,삼성전자(주),RF85C91M1AP,40.42,"78,000",855.8,1,#N/A
98,LG전자(주),M874AAA152,50.49,"97,000",877.2,2,#N/A
99,LG전자(주),M874AAA151,41.39,"79,000",877.2,1,#N/A
100,LG전자(주),M874GBB152,50.49,"97,000",877.2,2,#N/A
101,LG전자(주),M874AAA452,51.95,"100,000",879.5,2,#N/A
102,LG전자(주),M874AAA551,43.54,"84,000",873.4,1,#N/A
103,삼성전자(주),RF85C90N1AP,40.32,"77,000",858.1,1,#N/A
104,LG전자(주),M874AAA251,42.34,"81,000",872.6,1,#N/A
105,LG전자(주),M874GBC251,42.34,"81,000",872.6,1,#N/A
106,LG전자(주),M874GBB251,42.34,"81,000",872.6,1,#N/A
107,삼성전자(주),RF85C91N1AP,40.56,"78,000",854.7,1,#N/A
108,삼성전자(주),RF85C90J1W6,41.79,"80,000",875.5,1,#N/A
109,삼성전자(주),RF85C91D101,41.14,"79,000",874.6,1,#N/A
110,삼성전자(주),RF85C91D1W6,41.14,"79,000",874.6,1,#N/A
111,하이얼 전자판매(주),HRB276MDM,26.33,"51,000",240,2,#N/A
112,LG전자(주),S834S1D,51.64,"99,000",834,2,#N/A
113,삼성전자(주),RF85C91D155,41.14,"79,000",874.6,1,#N/A
